source_file,line_number,original_link_markdown,removed_url,proposed_replacement
site-template/content/hvac/cost-to-replace-thermostat-in-tampa-2026.md,169,[Cost to Replace AC Unit in Tampa 2026](/hvac/cost-to-replace-ac-unit-tampa-2026/),/hvac/cost-to-replace-ac-unit-tampa-2026/,Cost to Replace AC Unit in Tampa 2026
site-template/content/hvac/cost-to-replace-thermostat-in-tampa-2026.md,171,[Tampa Energy Efficiency Rebates 2026](/energy-efficiency/tampa-energy-efficiency-rebates-2026/),/energy-efficiency/tampa-energy-efficiency-rebates-2026/,Tampa Energy Efficiency Rebates 2026
site-template/content/interior/cost-to-remodel-bathroom-in-miami-2026.md,171,[Cost to Install Impact Windows in Miami](https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-miami-2026/),/hurricane-protection/cost-to-install-impact-windows-miami-2026/,Cost to Install Impact Windows in Miami
site-template/content/interior/cost-to-replace-kitchen-cabinets-in-florida-2026.md,168,[Cost to Replace Bathroom Vanities in Orlando 2026](https://floridahomecosts.com/interior/cost-to-replace-bathroom-vanities-in-orlando-2026/),/interior/cost-to-replace-bathroom-vanities-in-orlando-2026/,Cost to Replace Bathroom Vanities in Orlando 2026
site-template/content/major-systems/cost-to-replace-septic-tank-in-tampa-2026.md,160,[Cost to Install Water Heater in Tampa 2026](https://floridahomecosts.com/major-systems/cost-to-install-water-heater-tampa-2026/),/major-systems/cost-to-install-water-heater-tampa-2026/,Cost to Install Water Heater in Tampa 2026
site-template/content/plumbing/cost-to-replace-water-heater-in-davie-2026.md,171,[Cost to Inspect Home for Plumbing Issues](/home-maintenance/cost-to-inspect-home-florida-2026/),/home-maintenance/cost-to-inspect-home-florida-2026/,Cost to Inspect Home for Plumbing Issues
site-template/content/pool/cost-to-build-inground-pool-in-st.-petersburg-2026.md,164,[Cost to Install Fiberglass Pool in Florida 2026](https://floridahomecosts.com/pool/cost-to-install-fiberglass-pool-in-florida-2026/),/pool/cost-to-install-fiberglass-pool-in-florida-2026/,Cost to Install Fiberglass Pool in Florida 2026
site-template/content/pool/cost-to-build-inground-pool-in-st.-petersburg-2026.md,165,[Cost to Replace Pool Pump and Filter in St. Petersburg 2026](https://floridahomecosts.com/pool/cost-to-replace-pump-filter-st-petersburg-2026/),/pool/cost-to-replace-pump-filter-st-petersburg-2026/,Cost to Replace Pool Pump and Filter in St. Petersburg 2026
site-template/content/pool/cost-to-build-inground-pool-in-st.-petersburg-2026.md,166,[Cost to Insure Home with Pool in Florida 2026](https://floridahomecosts.com/insurance/cost-to-insure-home-with-pool-florida-2026/),/insurance/cost-to-insure-home-with-pool-florida-2026/,Cost to Insure Home with Pool in Florida 2026
site-template/content/pool/cost-to-build-pool-enclosure-in-miami-2026.md,170,[Cost to Install Impact Windows in Miami 2026](https://floridahomecosts.com/hurricane-protection/cost-to-install-impact-windows-miami-2026/),/hurricane-protection/cost-to-install-impact-windows-miami-2026/,Cost to Install Impact Windows in Miami 2026
site-template/content/pool/cost-to-resurface-pool-deck-in-miami-2026.md,171,[Cost to Install In-Ground Pool in Miami](https://floridahomecosts.com/pooling/cost-to-install-in-ground-pool-miami-2026/),/pooling/cost-to-install-in-ground-pool-miami-2026/,Cost to Install In-Ground Pool in Miami
site-template/content/pool/cost-to-resurface-pool-deck-in-miami-2026.md,172,[Cost to Repair Pool Liner Florida](https://floridahomecosts.com/pooling/cost-to-repair-pool-liner-florida-2026/),/pooling/cost-to-repair-pool-liner-florida-2026/,Cost to Repair Pool Liner Florida
site-template/content/pool/cost-to-resurface-pool-in-cape-coral-2026.md,169,[Cost to Install Pool Safety Fence in Cape Coral 2026](/pool/cost-to-install-pool-safety-fence-cape-coral-2026/),/pool/cost-to-install-pool-safety-fence-cape-coral-2026/,Cost to Install Pool Safety Fence in Cape Coral 2026
site-template/content/pool/cost-to-resurface-pool-in-fort-lauderdale-2026.md,169,[Cost to Install Pool Deck in Fort Lauderdale 2026](https://floridahomecosts.com/pool/cost-to-install-pool-deck-fort-lauderdale-2026/),/pool/cost-to-install-pool-deck-fort-lauderdale-2026/,Cost to Install Pool Deck in Fort Lauderdale 2026
site-template/content/pool/cost-to-resurface-pool-in-naples-2026.md,169,[Cost to Install an In-Ground Pool in Naples 2026](/pool/cost-to-install-in-ground-pool-naples-2026/),/pool/cost-to-install-in-ground-pool-naples-2026/,Cost to Install an In-Ground Pool in Naples 2026
